Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487800173,--,--
No,Ch,Hit,Time_H,Time_L,Energy
618,0,0x110121,0,405511040,11189
619,0,0x110121,0,406166400,11184
620,0,0x110121,0,406821760,11178
621,0,0x110121,0,407477120,11196
622,0,0x110121,0,408132480,10252
623,0,0x110121,0,408787840,11181
624,0,0x110121,0,409443200,11187
625,0,0x110121,0,410098560,11200
626,0,0x110121,0,410753920,11178
627,0,0x110121,0,411409280,11193
628,0,0x110121,0,412064640,11187
629,0,0x110121,0,412720000,11183
630,0,0x110121,0,413375360,10211
631,0,0x110121,0,414030720,11190
632,0,0x110121,0,414686080,11192
633,0,0x110121,0,415341440,11195
634,0,0x110121,0,415996800,11190
635,0,0x110121,0,416652160,11109
636,0,0x110121,0,417307520,11815
637,0,0x110121,0,417962880,11193
638,0,0x110121,0,418618240,10683
639,0,0x110121,0,419273600,11188
640,0,0x110121,0,419928960,11194
641,0,0x110121,0,420584320,11198
642,0,0x110121,0,421239680,11188
643,0,0x110121,0,421895040,11088
644,0,0x110121,0,422550400,11191
645,0,0x110121,0,423205760,11188
646,0,0x110121,0,423861120,11195
647,0,0x110121,0,424516480,11199
648,0,0x110121,0,425171840,11394
649,0,0x110121,0,425827200,11195
650,0,0x110121,0,426482560,11194
651,0,0x110121,0,427137920,11198
652,0,0x110121,0,427793280,11794
653,0,0x110121,0,428448640,11184
654,0,0x110121,0,429104000,10613
655,0,0x110121,0,429759360,11185
656,0,0x110121,0,430414720,11190
657,0,0x110121,0,431070080,11184
658,0,0x110121,0,431725440,11197
659,0,0x110121,0,432380800,11335
660,0,0x110121,0,433036160,11180
661,0,0x110121,0,433691520,11186
662,0,0x110121,0,434346880,11201
663,0,0x110121,0,435002240,11196
664,0,0x110121,0,435657600,11618
665,0,0x110121,0,436312960,11191
666,0,0x110121,0,436968320,11191
667,0,0x110121,0,437623680,11185
668,0,0x110121,0,438279040,11181
669,0,0x110121,0,438934400,11190
670,0,0x110121,0,439589760,11195
671,0,0x110121,0,440245120,11192
672,0,0x110121,0,440900480,11195
673,0,0x110121,0,441555840,11186
674,0,0x110121,0,442211200,11187
675,0,0x110121,0,442866560,11191
676,0,0x110121,0,443521920,11183
677,0,0x110121,0,444177280,11185
678,0,0x110121,0,444832640,11198
